a	a |
à	à |
aabudiwe	a a b u d i w e |
aache	a a c h e |
aah	a a h |
aanze	a a n z e |
aanzilie	a a n z i l i e |
aaron	a a r o n |
abadilishe	a b a d i l i s h e |
abakie	a b a k i e |
abapashwa	a b a p a s h w a |
abbott	a b b o t t |
abc	a b c |
abo	a b o |
abou	a b o u |
abracadabra	a b r a c a d a b r a |
académie	a c a d é m i e |
accord	a c c o r d |
acetique	a c e t i q u e |
acha	a c h a |
achaguliwe	a c h a g u l i w e |
achaka	a c h a k a |
achana	a c h a n a |
achanishwa	a c h a n i s h w a |
achate	a c h a t e |
achemenide	a c h e m e n i d e |
achilia	a c h i l i a |
achukia	a c h u k i a |
achwa	a c h w a |
acide	a c i d e |
acides	a c i d e s |
acrylique	a c r y l i q u e |
act	a c t |
adabu	a d a b u |
adam	a d a m |
adama	a d a m a |
adams	a d a m s |
adamu	a d a m u |
addisabeba	a d d i s a b e b a |
adele	a d e l e |
adenovirus	a d e n o v i r u s |
adhanom	a d h a n o m |
adibisha	a d i b i s h a |
adisi	a d i s i |
adisiaka	a d i s i a k a |
administration	a d m i n i s t r a t i o n |
adn	a d n |
adopter	a d o p t e r |
adressage	a d r e s s a g e |
adresse	a d r e s s e |
adresses	a d r e s s e s |
adui	a d u i |
aende	a e n d e |
aendelee	a e n d e l e e |
aérosol	a é r o s o l |
afanane	a f a n a n e |
afanye	a f a n y e |
afghanistan	a f g h a n i s t a n |
afike	a f i k e |
afiki	a f i k i |
afisa	a f i s a |
african	a f r i c a n |
afrika	a f r i k a |
afro	a f r o |
afunge	a f u n g e |
afungule	a f u n g u l e |
afunike	a f u n i k e |
afya	a f y a |
agano	a g a n o |
agathe	a g a t h e |
agent	a g e n t |
agiza	a g i z a |
agizo	a g i z o |
agizwa	a g i z w a |
aguse	a g u s e |
—ah	— a h |
ah	a h |
ahadi	a h a d i |
ahangaikii	a h a n g a i k i i |
ahidiwa	a h i d i w a |
ai	a i |
aibu	a i b u |
aie	a i e |
aiendeki	a i e n d e k i |
aifanye	a i f a n y e |
aigle	a i g l e |
aikale	a i k a l e |
aikutumwa	a i k u t u m w a |
aina	a i n a |
aingie	a i n g i e |
airlines	a i r l i n e s |
airways	a i r w a y s |
aitike	a i t i k e |
aitumike	a i t u m i k e |
ajabu	a j a b u |
ajali	a j a l i |
ajaribu	a j a r i b u |
ajaze	a j a z e |
aje	a j e |
ajenda	a j e n d a |
ajenge	a j e n g e |
ajikinge	a j i k i n g e |
ajili	a j i l i |
ajishawishi	a j i s h a w i s h i |
ajue	a j u e |
ajulikani	a j u l i k a n i |
ajuwe	a j u w e |
aka	a k a |
akaacha	a k a a c h a |
akaamuru	a k a a m u r u |
akaanza	a k a a n z a |
akaaungusha	a k a a u n g u s h a |
akabadirisha	a k a b a d i r i s h a |
akabakia	a k a b a k i a |
akachungulia	a k a c h u n g u l i a |
akaenda	a k a e n d a |
akaendelea	a k a e n d e l e a |
akafanya	a k a f a n y a |
akafukuzwa	a k a f u k u z w a |
akafungua	a k a f u n g u a |
akagabula	a k a g a b u l a |
akageuka	a k a g e u k a |
akahimiza	a k a h i m i z a |
akaingia	a k a i n g i a |
akaipanguzisha	a k a i p a n g u z i s h a |
akaita	a k a i t a |
akaitika	a k a i t i k a |
akaituma	a k a i t u m a |
akaiuzishia	a k a i u z i s h i a |
akajibia	a k a j i b i a |
akajibu	a k a j i b u |
akajifanya	a k a j i f a n y a |
akajificha	a k a j i f i c h a |
akajitingiza	a k a j i t i n g i z a |
akajitoa	a k a j i t o a |
akajitupa	a k a j i t u p a |
akajivunja	a k a j i v u n j a |
akakamata	a k a k a m a t a |
akakimbia	a k a k i m b i a |
akakubali	a k a k u b a l i |
akakuja	a k a k u j a |
akakumbatia	a k a k u m b a t i a |
akakuwa	a k a k u w a |
akalia	a k a l i a |
akamkumbatia	a k a m k u m b a t i a |
akamtoa	a k a m t o a |
akamuangalia	a k a m u a n g a l i a |
akamugusa	a k a m u g u s a |
akamujibu	a k a m u j i b u |
akamukumbatia	a k a m u k u m b a t i a |
akamulalamikia	a k a m u l a l a m i k i a |
akaniambia	a k a n i a m b i a |
akaniita	a k a n i i t a |
akaonekana	a k a o n e k a n a |
akaongeza	a k a o n g e z a |
