original,predicted,wer:18.42,cer:6.32,num_tokens,num_chars,substitutions,insertions,deletions
tshotsho kodiongo amilobeli na se ya motema nayebaka te nini etinda ngai naloba ke nawuta barumbu,tshotsho kodiongo amilobeli na se ya motema nayebaka te nini tii na ngai naloba que nawuta barumbu,3,5,16,82,2,1,0
na kesi ya leta bambɔgɔ ezali kobima po na kobongisa banzela,nakisi ya leta mbɔngɔ ezali kobima mpo na kobongisa banzela,4,5,11,50,3,0,1
na ndenge babatelinzoto bakimisaki ya na motuka,na ndenge babatelinzoto bakimisaki ye na motuka,1,1,7,41,1,0,0
mokolo wana tango oyaki nayokaki posa ya kozinda na se ya mabele,mokolo wana tango ayaki nayokaki mposa ya kozinga na se ya mabele,3,3,12,53,3,0,0
sukasuka akoya kofanda awa libela,sukasuka akoya kofanda awa libela,0,0,5,29,0,0,0
tala ebembe ya mama na yɔ,tala bemba mama na yɔ,2,3,6,20,1,0,1
ayɔki ata kosukosu te,ayɔki ata poso kosuka,2,4,4,18,2,0,0
atali esika motuka etelemaki,atali esika motuka etelemaki,0,0,4,25,0,0,0
na bavote yango kasi na polele boye aseki,na bavote yango kasi na polele boye aseki,0,0,8,34,0,0,0
bakomɛla yɔ okozanga esika okokɛndɛ kofunda,lokola babengi yɔ masta suki boyi,6,30,6,38,4,1,1
mwananyoka apusani pεnε na ye azwi kopo ya masanga amelisi excellence,mwananyoka apusani bene na ye azwi kopo ya masanga amɛla se excellence,3,6,11,59,2,1,0
ekipi mosusu kombo na yango ezalaki bana ya kin,ekipi mosusu kombo na yango ezalaki bana ya kin,0,0,9,39,0,0,0
mibali oyɔ onyɔkɔlaki pe obomaki bazali bandeko na ngai,mibali oyɔ onyɔkɔlaki pe obomaki bazali bandeko na ngai,0,0,9,47,0,0,0
mwana moninga mawa te,bwala moninga mawa te,1,2,4,18,1,0,0
mwasi oyɔ bazalaki kobenga atelemi,mwasi oyɔ bazalaki kobenga atelemi,0,0,5,30,0,0,0
bozwa yango na ndenge ya mabe te,bozwa yango na ndenge ya mabe te,0,0,7,26,0,0,0
kozonga azozonga na kolεmba wana nyɔnso makanisi kaka aya kopemisa molimo na tolo ya muji,kozonga azozonga na kolemba wana nyɔnso makanisi kaka aya kopemisa milimo na talo ya maki,4,5,15,75,4,0,0
soki olandi elimboli ya bakɔkɔ nzambe atia mibeko oyɔ etambusaka mokili,soki obandi elimboli ya bakɔkɔ nzambe atiya mibeko oyɔ etambwisaka mokili,3,4,11,61,3,0,0
ngai nazodondwa,ngai nazodondwa,0,0,2,14,0,0,0
ayebi mongongo wana malamu,ayebi mongongo wana malamu,0,0,4,23,0,0,0
