original,predicted,wer:22.13,cer:6.85,num_tokens,num_chars,substitutions,insertions,deletions
tshotsho kodiongo amilobeli na se ya motema nayebaka te nini etinda ngai naloba ke nawuta barumbu,tshotho kodiongo amilobeli na se ya motema nayebika te nini tii na ngai naloba que nawuta barumbu,5,7,16,82,4,1,0
na kesi ya leta bambɔgɔ ezali kobima po na kobongisa banzela,na kese ya leta mbɔngɔ ezali kobima po na kobongisa banzela,2,4,11,50,2,0,0
na ndenge babatelinzoto bakimisaki ya na motuka,na ndenge babatelinzoto bakimisaki ye na motuka,1,1,7,41,1,0,0
mokolo wana tango oyaki nayokaki posa ya kozinda na se ya mabele,mokolo wana tango oyaki nayokaki mposa ya kozinga na se ya mabele,2,2,12,53,2,0,0
sukasuka akoya kofanda awa libela,sukasuka akoya kofanda awa libela,0,0,5,29,0,0,0
tala ebembe ya mama na yɔ,tala ebemba mama na yɔ,2,2,6,20,1,0,1
ayɔki ata kosukosu te,ayoke ata kosokosu te,2,3,4,18,2,0,0
atali esika motuka etelemaki,atali esika motuka etelemaki,0,0,4,25,0,0,0
na bavote yango kasi na polele boye aseki,na bavoti yango kasi na polele boye aseki,1,1,8,34,1,0,0
bakomɛla yɔ okozanga esika okokɛndɛ kofunda,lokola babengi yɔ masta posopi bunu,6,29,6,38,4,1,1
mwananyoka apusani pεnε na ye azwi kopo ya masanga amelisi excellence,mwananyoka apusani pεnε na ye azwi kopo ya masanga amelise ecelante,2,5,11,59,2,0,0
ekipi mosusu kombo na yango ezalaki bana ya kin,ekipi mosusu kombo na yango ezalaki bana ya kilo,1,2,9,39,1,0,0
mibali oyɔ onyɔkɔlaki pe obomaki bazali bandeko na ngai,mibali oyɔ nyɔkolaki pe obomaki bazali bandeko na ngai,1,2,9,47,1,0,0
mwana moninga mawa te,bwana moninga monga te,2,4,4,18,2,0,0
mwasi oyɔ bazalaki kobenga atelemi,mwasi oyɔ bazalaki kobenga atelemi,0,0,5,30,0,0,0
bozwa yango na ndenge ya mabe te,bozwa yango na ndenge ya mabe te,0,0,7,26,0,0,0
kozonga azozonga na kolεmba wana nyɔnso makanisi kaka aya kopemisa molimo na tolo ya muji,kozonga azozonga na kolemba wana nyɔnso makanisi kaka aya kopemisa amilimo na tolo ya moki,3,5,15,75,3,0,0
