a	a |
aah	a a h |
abakisaki	a b a k i s a k i |
abakisela	a b a k i s e l a |
abakisi	a b a k i s i |
abala	a b a l a |
abalana	a b a l a n a |
abaloli	a b a l o l i |
abaluki	a b a l u k i |
abalusa	a b a l u s a |
abalusi	a b a l u s i |
abambami	a b a m b a m i |
abanda	a b a n d a |
abandaki	a b a n d a k i |
abandela	a b a n d e l a |
abandeli	a b a n d e l i |
abandi	a b a n d i |
abangi	a b a n g i |
abayer	a b a y e r |
abbattoir	a b b a t t o i r |
abeba	a b e b a |
abelaka	a b e l a k a |
abeleli	a b e l e l i |
abendaka	a b e n d a k a |
abendani	a b e n d a n i |
abendi	a b e n d i |
abenga	a b e n g a |
abengaki	a b e n g a k i |
abengani	a b e n g a n i |
abengi	a b e n g i |
abengisi	a b e n g i s i |
abeta	a b e t a |
abetami	a b e t a m i |
abetami	a b e t a m i |
abetelaki	a b e t e l a k i |
abeteli	a b e t e l i |
abeti	a b e t i |
abiance	a b i a n c e |
abika	a b i k a |
abiki	a b i k i |
abima	a b i m a |
abimaki	a b i m a k i |
abimi	a b i m i |
abimisaki	a b i m i s a k i |
abimisi	a b i m i s i |
aboma	a b o m a |
abomba	a b o m b a |
abombaka	a b o m b a k a |
abomi	a b o m i |
abomisa	a b o m i s a |
abondela	a b o n d e l a |
abongi	a b o n g i |
abongisa	a b o n g i s a |
abongisaki	a b o n g i s a k i |
abongisele	a b o n g i s e l e |
abosanaka	a b o s a n a k a |
abosani	a b o s a n i |
abota	a b o t a |
abotama	a b o t a m a |
abotamaki	a b o t a m a k i |
abotami	a b o t a m i |
aboti	a b o t i |
abotisa	a b o t i s a |
abotoli	a b o t o l i |
aboudaki	a b o u d a k i |
aboule	a b o u l e |
abouler	a b o u l e r |
aboyaki	a b o y a k i |
aboyi	a b o y i |
abukani	a b u k a n i |
abunda	a b u n d a |
abundanaki	a b u n d a n a k i |
abwakeli	a b w a k e l i |
abwaki	a b w a k i |
acauser	a c a u s e r |
achange	a c h a n g e |
acomprendre	a c o m p r e n d r e |
aconclure	a c o n c l u r e |
acorriger	a c o r r i g e r |
adefaki	a d e f a k i |
aeoport	a e o p o r t |
aeoroport	a e o r o p o r t |
aeroport	a e r o p o r t |
afanda	a f a n d a |
afandaka	a f a n d a k a |
afandaki	a f a n d a k i |
afandi	a f a n d i |
afandisaki	a f a n d i s a k i |
afandisi	a f a n d i s i |
afingaka	a f i n g a k a |
afingaki	a f i n g a k i |
afingama	a f i n g a m a |
afingi	a f i n g i |
africaine	a f r i c a i n e |
africains	a f r i c a i n s |
afrika	a f r i k a |
afrique	a f r i q u e |
afundaki	a f u n d a k i |
afungola	a f u n g o l a |
afungolaki	a f u n g o l a k i |
afungolelaki	a f u n g o l e l a k i |
afungoli	a f u n g o l i |
afuta	a f u t a |
afutama	a f u t a m a |
afutelaka	a f u t e l a k a |
afuti	a f u t i |
aganga	a g a n g a |
agangi	a g a n g i |
ageler	a g e l e r |
agene	a g e n e |
ah	a h |
ahn	a h n |
airzaire	a i r z a i r e |
akamwe	a k a m w e |
akanaka	a k a n a k a |
akanaki	a k a n a k i |
akanduki	a k a n d u k i |
akanga	a k a n g a |
akangaki	a k a n g a k i |
akangamaki	a k a n g a m a k i |
akangi	a k a n g i |
akangisa	a k a n g i s a |
akanisa	a k a n i s a |
akanisaka	a k a n i s a k a |
akanisi	a k a n i s i |
akataki	a k a t a k i |
akatanaki	a k a t a n a k i |
akateli	a k a t e l i |
akati	a k a t i |
akatisaka	a k a t i s a k a |
akatisi	a k a t i s i |
akei	a k e i |
akenda	a k e n d a |
akendaka	a k e n d a k a |
akendaki	a k e n d a k i |
akeyi	a k e y i |
akimaka	a k i m a k a |
akimaki	a k i m a k i |
akimi	a k i m i |
akimisaki	a k i m i s a k i |
akipe	a k i p e |
akita	a k i t a |
akitaki	a k i t a k i |
akiti	a k i t i |
akitisaki	a k i t i s a k i |
akitisi	a k i t i s i |
akobaki	a k o b a k i |
akobala	a k o b a l a |
akobangisa	a k o b a n g i s a |
akobeta	a k o b e t a |
akobi	a k o b i |
akobika	a k o b i k a |
akobima	a k o b i m a |
akobimisa	a k o b i m i s a |
akoboma	a k o b o m a |
akobomba	a k o b o m b a |
akobongisa	a k o b o n g i s a |
akobulungana	a k o b u l u n g a n a |
akofuta	a k o f u t a |
akokaki	a k o k a k i |
akoki	a k o k i |
akokipe	a k o k i p e |
akokisa	a k o k i s a |
akokisaki	a k o k i s a k i |
akokisi	a k o k i s i |
akokoka	a k o k o k a |
akokoma	a k o k o m a |
akokota	a k o k o t a |
akokufa	a k o k u f a |
akokɛnda	a k o k ɛ n d a |
akokɛndɛ	a k o k ɛ n d ɛ |
akola	a k o l a |
akolapa	a k o l a p a |
akole	a k o l e |
akoli	a k o l i |
akolinga	a k o l i n g a |
akoliya	a k o l i y a |
akoloba	a k o l o b a |
akolongolela	a k o l o n g o l e l a |
akoluka	a k o l u k a |
akoma	a k o m a |
akomaka	a k o m a k a |
akomaki	a k o m a k i |
akomi	a k o m i |
akomisa	a k o m i s a |
akomona	a k o m o n a |
